0:08	Chapter 0	Introduction This above all to thy on self be true
#04:59	Part I.	Awakening Consciousness
5:03	Chapter 1.	THE VOICE INSIDE YOUR HEAD
20:02	Chapter 2	YOUR INNER ROOMMATE
36:54	Chapter 3	WHO ARE YOU
52:15	Chapter 4	THE LUCID SELF
#01:09:43	Part II.	Experiencing Energy
01:09:48	Chapter 5	INFINITE ENERGY
01:27:00	Chapter 6	THE SECRETS OF THE SPIRITUAL HEART
01:49:34	Chapter 7	TRANSCENDING THE TENDENCY TO CLOSE
#02:10:30	Part III.	Freeing Yourself
02:10:37	Chapter 8	LET GO NOW OR FALL
02:32:05	Chapter 9	REMOVING YOUR INNER THORN
02:48:31	Chapter 10	STEALING FREEDOM FOR YOUR SOUL
03:11:31	Chapter 11	PAIN THE PRIZE OF FREEDOM
#03:33:50	Part IV.	Going Beyond
03:33:54	Chapter 12	TAKING DOWN THE WALLS
03:53:45	Chapter 13	FAR, FAR BEYOND
04:10:15	Chapter 14	LETTING GO OF FALSE SOLIDITY
#04:37:49	Part V.	Living a  life
04:37:52	Chapter 15	THE PATH OF UNCONDITIONAL HAPPINESS
04:54:33	Chapter 16	THE SPIRITUAL PATH OF NON-RESISTANCE
05:12:03	Chapter 17	CONTEMPLATING DEATH
05:30:05	Chapter 18	THE SECRET OF THE MIDDLE WAY
05:47:40	Chapter 19	THE LOVING EYES OF GODC
